property_name,property_address,Estate_name
3bdrm Villa in Malindi Villas for rent,lamu road,Malindi villas
"4bdrm Bungalow in Teacher'S Estate, Limuru for rent",Nyambari,Teacher's Estate
2bdrm Apartment in Nyali for rent,links road,"2500
     
      sqm"
2bdrm Apartment in Nyali for rent,beachroad,"1500
     
      sqm"
"Furnished 2bdrm Apartment in Riara Road, Lavington for rent",Lavington Nairobi,Riara Road
"Furnished 1bdrm Apartment in Gold Park, Kilimani for rent",Wood avenue,Gold park
1bdrm Apartment in South C for Rent,Nextgen Mall,Renovated
"5bdrm Townhouse / Terrace in Convent Drive, Lavington for rent",Lavington Nairobi,Convent Drive
"3bdrm Apartment in Othaya Road, Kileleshwa for rent",Kileleshwa Nairobi,Othaya Road
"Furnished 1bdrm Apartment in Lavington, Maziwa for rent",Lavington,Lavington
4bdrm Mansion in Runda for rent,Runda Beautiful and Spacious 4 Bedroom Home To Let.,Runda
"1bdrm Apartment in Clay City, Kasarani for rent",Clay City,Clay City
"Furnished 1bdrm Bedsitter in Yellow House, Mtambo for rent",Fisheries,Yellow house
2bdrm Apartment in Kiamunyi for rent,Nakuru kabarak road,Kiamunyi
"2bdrm Apartment in Ongata Rongai Near, Magenche for rent",Ole Sakuda Road,Ongata Rongai near exciting Hotel
5bdrm Mansion in Runda for rent,𝐑𝐔𝐍𝐃𝐀 𝟓 𝐁𝐄𝐃𝐑𝐎𝐎𝐌 𝐌𝐎𝐃𝐄𝐑𝐍 𝐇𝐎𝐔𝐒𝐄 TO LET,Runda
1bdrm Apartment in Ndenderu for rent,KAGONDO,NDENDERU
2bdrm Apartment in Kabete for rent,Muthure,"98
     
      sqm"
"3bdrm Villa in Kibokoni Estate, Town Centre for rent",Kibokoni street,Kibokoni estate
Furnished 3bdrm Apartment in Kilimani for rent,NEAR KENYATTA NATIONAL HOSPITAL,"160
     
      sqm"
"Furnished 1bdrm Apartment in Mt Kenya Road, Nyali Mkomani for rent",mt kenya road,mt kenya road
2bdrm Apartment in Hurlingham for rent,"Kitale Lane, off Dennis Pritt Rd","85
     
      sqm"
4bdrm Villa in Kileleshwa for rent,550,Kileleshwa
To Let: Ridgeways 5 Bedroom Mansion,KIAMBU ROAD,RIDGEWAYS ESTATE
"Furnished 4bdrm Maisonette in Windsor, Ridgeways for rent",Windsor,Windsor
2bdrm Apartment in Ruaka for rent,Ruaka,Ruaka
3bdrm Apartment in South B for Rent,Sanasana,Renovated
"2bdrm Bungalow in Wambuku Drive, Kabete for rent",kibichiku,wambuku drive
5bdrm Villa in Karen for rent,Karen,"1000
     
      sqm"
2bdrm Apartment in Nairobi West for rent,Nairobi west,Nairobi west
3bdrm Apartment in South B for Rent,Shopping Centre,"5000
     
      sqm"
2bdrm Apartment in Nairobi West for rent,Nairobi west,Nairobi west
1bdrm Apartment in South B for rent,South B,Fairly Used
5bdrm Villa in Ridgeways for rent,Ridgeways,Ridgeways
Newly Built One Bedroom Nairobi West at 27000,Gadhi Avenue,Newly-Built
"Three Bedrooms Master Ensuit Nairobi West at 45,000/=",Kisauni Road,Renovated
"Furnished 1bdrm Apartment in Racecourse Gardens, Dagoretti for rent",Ngando,Racecourse Gardens
1bdrm Apartment in Langata for Rent,Otiende,"60
     
      sqm"
2bdrm Apartment in Umoja Jeska for rent,Umoja Jeska,Umoja Jeska
"4bdrm Townhouse / Terrace in Bongain, Karen for rent",Karen bongain,bongain
Two Bedrooms Master Ensuit South B,Newly-Built,Standard
Studio Apartment in Kiembeni for Rent,kiembeni estate,kiembeni
1bdrm Apartment in Kilimani for rent,Argwings Kodhek,"50
     
      sqm"
Spacious 1bedroomed to Let,Off Muthaiga North Road,Pipeline Court
"Mini Flat in Kiungani Road, Gateway Mall Area for rent",Syokimau,Kiungani road
1bdrm Apartment in Ruiru Thika Road for rent,Kihunguro,Ruiru Thika road
4bdrm House in Matasia for rent,Ngong,Matasia
"3bdrm Apartment in Golden Palm, Zambezi/Sigona for rent",Zambezi Stage,Golden Palm Apartment
1bdrm Apartment in South B for Rent,Balozi,Renovated
Furnished 2bdrm House in Runda for rent,Runda 𝐒𝐩𝐚𝐜𝐢𝐨𝐮𝐬 2 𝐁𝐞𝐝𝐫𝐨𝐨𝐦 𝐅𝐮𝐫𝐧𝐢𝐬𝐡𝐞𝐝,Runda
"1bdrm Block of Flats in Soliani, Mtambo for rent",Soliani,Soliani
1bdrm Apartment in Zambezi for Rent,zambezi town,Zambezi
"4bdrm Maisonette in Kiambu, Nairobi Central for rent",23 kiambu,Kiambu
"Four Bedrooms Plus Sq South C at 60,000/=",Akiba Estate,Akiba
Studio Apartment in Bamburi for rent,Fantastic studio to let,Bamburi
"3bdrm Apartment in Riara Road, Lavington for rent",Lavington Nairobi,RIARA ROAD
RAYOHPROPERTY Bedsitter to Let 6500ksh With Balcony,furaha academy area,RAYOHPROPERTY
3bdrm Apartment in Nyali for rent,umoja road,Unfurnished
"2bdrm Apartment in Maasai Lodge Estate, Ongata Rongai for rent",Maasai lodge road,Maasai lodge estate
"Furnished 2bdrm Apartment in Kilimani,Top Notch for Rent",kilimani,"kilimani,top notch"
"4bdrm Villa in Silanga Road, Karen for rent",Karen,Silanga road
3bdrm Block of Flats in Hurlingham for Rent,Kilimani,Unfurnished
"1bdrm Apartment in Kamtaro, Ruaka for rent",MUCHATHA-BANANA ROAD,KAMTARO
"2bdrm Apartment in Hill View, Uthiru for Rent",Naivasha road ILRI,HILL VIEW
"3bdrm Bungalow in Rimpa, Rongai for rent",Rongai,Rimpa
"4bdrm Villa in Links Road, Nyali for Rent",links road,links road
3bdrm Apartment in Thika CBD for Rent,THIKA/GARISSA ROAD.,"150
     
      sqm"
"2bdrm Apartment in Kiamunyi, Nakuru Town West for rent",Nakuru kabarak road,Kiamunyi
1bdrm Apartment in Westlands for rent,Karuna road,Westlands
Furnished 3bdrm Apartment in Lavington for Rent,Valley Arcade,"213
     
      sqm"
2bdrm Apartment in Nairobi West for Rent,Gadhi Avenue,Renovated
1bdrm Bedsitter in Kwa Kairu for rent,Gwa kairu,"50
     
      sqm"
3bdrm Apartment in Langata for rent,Langata near delverence,Langata
Mini Flat in Gateway Mall Area for rent,Syokimau gateway mall,"119
     
      sqm"
4bdrm Duplex in Kitisuru for rent,Kitisuru,"985
     
      sqm"
5bdrm House in Karen for rent,Miotoni,"560
     
      sqm"
3bdrm Apartment in Madaraka for rent,madaraka,Newly-Built
1bdrm Apartment in South B for rent,Balozi,Newly-Built
3bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
3bdrm Apartment in Westlands for Rent,Westlands,Fairly Used
2bdrm Apartment in Hurlingham for Rent,Kilimani,"200
     
      sqm"
2bdrm Apartment in Loresho for rent,Loresho Nairobi,Loresho
1bdrm Apartment in Langata for rent,Upper langata,"60
     
      sqm"
"2bdrm Apartment in Milimani Blocks, Kiambu CBD for rent",Milimani -Umoja Road,Milimani Blocks
"Mini Flat in Hardy, Karen for rent",Karen.,Hardy
5bdrm Maisonette in Kitengela for rent,Kitengela,"155
     
      sqm"
Furnished 1bdrm Apartment in Spring Valley for Rent,Kileleshwa Aboretum,"450
     
      sqm"
5bdrm Maisonette in Nakuru Blankets for Rent,Blankets Close,Nakuru Blankets
3bdrm Apartment in Kilimani for Rent,kilimani,"12
     
      sqm"
"5bdrm Mansion in Sosian, Embakasi for rent",Spine Road,Sosian
"3bdrm Apartment in Lavington, Valley Arcade for Rent",Lavington Nairobi,Lavington
3bdrm Apartment in Kilimani for rent,"Junction Mall area, off Riara Road","205
     
      sqm"
"2bdrm Bungalow in Tuala, Oloosirkon/Sholinke for rent",Rusinga Drive,Tuala
Bedsitters to Let Nyali,Yes,1
"7bdrm Mansion in Karen, Hardy for rent",Karen,Karen
2bdrm Apartment in Karen for Rent,Karen plains,"80
     
      sqm"
4bdrm Bungalow in Kilifi Town for rent,500m off malindi Mombasa highway. 5km from pwani university,"1000
     
      sqm"
2bdrm Apartment in Deliverance for Rent,Uhuru Gardens,Renovated
4bdrm Maisonette in Kitengela (Epz) for rent,4Bedroom for sale,Kitengela (epz)
1bdrm Apartment in Ruiru-Thika Road for Rent,"Ruiru, Kihunguro near Plainsview Hospital","Ruiru-Thika Road ,Kihunguro- Master Ensuite"
2bdrm Apartment in Bamburi for Rent,"Elegant two bedroom hse to let, bamburi fisheries","200
     
      sqm"
"2bdrm Apartment in Kirigiti Stadium, Kiambu / Kiambu  for rent",Kirigiti newly 2 bedroom,Kirigiti stadium
3bdrm Bungalow in Karen P for Rent,Karen plan,Karen p
1bdrm Apartment in Githurai 45 for rent,Jabali House Githurai 45 Near Mwiki Primary,Githurai 45
4bdrm Maisonette in Buruburu Estate for rent,Buruburu Road,Buruburu estate
"2bdrm Apartment in Jokevila Estate, Daraja Mbili for rent",973,Jokevila Estate
Furnished 2bdrm Apartment in Westlands for rent,Westlands,"1500
     
      sqm"
Furnished 2bdrm Apartment in Kilimani for rent,Kilimani,"90
     
      sqm"
2bdrm Apartment in Ngara for rent,ngara,"1500
     
      sqm"
"5bdrm Maisonette in  Villa, Nyali Mkomani for Rent",off link road nyali,⭐ villa
"1bdrm Penthouse in Balozi, South B for rent",South b plains view,Balozi
3bdrm Apartment in Nyali for rent,Moyne drive,Nyali
"3bdrm Townhouse / Terrace in Gatak Vilas Plus Dsq, Gataka for rent",Gataka villas,Gatak Vilas plus Dsq
"3bdrm Bungalow in Kikeni, Karen for Rent",hardly,kikeni
"Furnished 2bdrm Apartment in Westlands, Raphta Road Area for Rent",westlands,westlands
"1bdrm Apartment in Ruiru,Eastern Bypass, Old Junction for Rent","Ruiru along Eastern Bypass Road,Old Junction","Ruiru,Eastern Bypass Road Opposite Shell Petrol Station"
3bdrm Apartment in Kitengela Epz for Rent,"Kitengela,Epz",Kitengela epz
Studio Apartment in Wangige for Rent,"Lower kabete,wangige",Newly-Built
"3bdrm Apartment in Mwembeni, Bamburi for Rent",zawadi apartments,mwembeni
Furnished 5bdrm Villa in Malindi for rent,lamu rd,"1000
     
      sqm"
"3bdrm Bungalow in Acacia, Kitengela for rent",Kitengela,Acacia
"2bdrm Duplex in Croton Ridge Estate, Kenyatta Road / Theta  for rent",1947,croton ridge estate
2bdrm Block of Flats in Maziwa for rent,55 maziwa,Maziwa
4bdrm Maisonette in Makongeni / Thika for rent,Landless Area,"150
     
      sqm"
Furnished 1bdrm Apartment in Westlands for rent,Muthithi RD,"70
     
      sqm"
Furnished 2bdrm Apartment in Kileleshwa for rent,Tabere Lane,"98
     
      sqm"
"Furnished 1bdrm Apartment in Naivasha Rd, Kilimani for rent",Naivasha rd,Naivasha rd
2bdrm Apartment in 2 Bedroom+Dsq  for rent,Nyeri Road,2 bedroom+Dsq  apartment for rent Kileleshwa
"Furnished 3bdrm Villa in Ridge, Vipingo for Rent",vipingo,Ridge
1bdrm Block of Flats in Ongata Rongai for rent,Masai lodge,"60
     
      sqm"
"2bdrm Apartment in Maziwa, Lavington for rent",Lavington Nairobi,Maziwa
"Furnished 1bdrm Apartment in 2 Nd Avenue, Nyali for Rent",links Road,2 nd avenue
"3bdrm Townhouse / Terrace in Gicoco, Kiambu / Kiambu  for rent",Kiambu Gicoco,Gicoco
"2bdrm Apartment in Ruiru Eastern Bypass, Kamakis for Rent",Mugen Plaza,Ruiru Eastern bypass
Furnished 2bdrm Apartment in Ruaka for rent,Ruaka,"100
     
      sqm"
Studio Apartment in Kileleshwa for Rent,kileleshwa,kileleshwa
"1bdrm Apartment in Kirigiti Roundabout, Kiambu / Kiambu  for rent",Kirigiti apartment,Kirigiti Roundabout
"3bdrm Apartment in Oleshapara, South C for rent",Oleshapara,Oleshapara
5bdrm House in Nyari for Rent,nyari,nyari
4bdrm Bungalow in Amani Close Nkoroi for rent,Executive four bedroom Bungalow for rent at Nkoroi,Amani close Nkoroi
"Studio Apartment in Lower Kabete Mwimuto, Mamito for Rent",lower kabete mwimuto,lower kabete mwimuto
3bdrm Townhouse / Terrace in Kitengela for rent,"Bonito Villas, Balozi Road, Kitengela","227
     
      sqm"
"1bdrm Apartment in Ghadhi, Nairobi West for rent",Ghadhi road,Ghadhi
2bdrm Apartment in Ndenderu for rent,Ndenderu,"110
     
      sqm"
"4bdrm Maisonette in Oledume Road, Kilimani for rent",Kilimani Nairobi,OLEDUME ROAD
"Furnished 2bdrm Apartment in Kaisa Gardens, Kileleshwa for rent",Laikipia Road,Kaisa Gardens
2bdrm Apartment in Thindigua/Kasarini for rent,Thindigua,"95
     
      sqm"
3bdrm Apartment in Hurlingham for Rent,Lenana road,Unfurnished
1bdrm Apartment in Lavington for rent,Valley Arcade,"60
     
      sqm"
3bdrm Apartment in South B for rent,South b,South b
"Newly Built 2 Bedrooms Master Ensuit South C@55,000/=",Newly-Built,Standard
3bdrm House in Karen for rent,Kabuagi,"1011
     
      sqm"
4bdrm Mansion in Mtwapa for rent,MTWAPA,"10
     
      sqm"
1bdrm Bedsitter in Mtwapa Merry Villa for rent,Mtwapa Catholic next to Merry Villa Hotel,Mtwapa Merry Villa Hotel
"Furnished 1bdrm Bedsitter in Union Square, Municipality for rent",Makutano,Union square
2bdrm Apartment in Ruiru for rent,Ruiru,"112
     
      sqm"
"7bdrm House in Thigiri Rise, Muthaiga for rent",New Muthaiga,Thigiri Rise
"3bdrm Townhouse/Terrace in Sultan, Kikambala for Rent",kikambala,Sultan
"Furnished 2bdrm Apartment in Links, Nyali Mkomani for rent",links road,links
1bdrm Apartment in Ruaka for rent,Ruaka,"112
     
      sqm"
4bdrm Apartment in Riverside Drive for rent,Riverside,"20
     
      sqm"
4bdrm Apartment in Kilimani for rent,Kilimani,"248
     
      sqm"
"Mini Flat in Regen, Kikuyu for rent",Regen,Regen
"2bdrm Apartment in Umoja Estate, Kiambu / Kiambu  for rent",Kiambu,Umoja Estate
Furnished 1bdrm Apartment in Hurlingham for rent,Yaya,"85
     
      sqm"
Furnished 2bdrm Apartment in Bamburi Beach Homes for rent,Bamburi beach,Bamburi beach homes
5bdrm Villa in Karen for Rent,Bogani road,"415
     
      sqm"
"8bdrm Bungalow in Nasipwoni Estate 2, Bumula for Rent","290,Bungoma",Nasipwoni estate 2
Buruburu 4 Bedroom Very Spacious House To Rent,Nairobi,Fairly Used
4bdrm Duplex in Nairobi West Kisauni for rent,West,Nairobi west kisauni
2bdrm Apartment in Ongata Rongai for rent,nafrom,"80
     
      sqm"
2bdrm Apartment in Kahawa Wendani for rent,Kahawa,Kahawa wendani
Furnished 4bdrm House in Ukunda for rent,Shimba hills,"100
     
      sqm"
3bdrm Apartment in Nyali for Rent,nyali road,Unfurnished
2bdrm Apartment in Westlands for rent,westlands,westlands
Furnished 3bdrm Apartment in Lavington for rent,Mbaazi lane,"195
     
      sqm"
"Furnished 3bdrm Apartment in Hurlingham, Kilimani for rent",Yayacentre,Hurlingham
"1bdrm Apartment in Ardon Homes, Nairobi Central for rent",Kileleshwa,Ardon homes
1bdrm Shared Apartment in Tassia for rent,12,"33
     
      sqm"
One Bedroom To Let At Kasarani Maji Mazuri Area.,Kasarani maji mazuri,"20
     
      sqm"
2bdrm Apartment in Nairobi West for Rent,Gadhi Avenue,"5000
     
      sqm"
"3bdrm Bungalow in Muigai, Kitengela for rent",Kitengela,Muigai
1bdrm Apartment in South B for rent,south B,south B
"2bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
4bdrm House in Mvita Railways for rent,4 bedroom house KSh 55000 in Tudor,"4500
     
      sqm"
2bdrm Apartment in Bamburi Utange for rent,Bamburi utange,Bamburi utange
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,"950
     
      sqm"
3bdrm Apartment in South B for rent,south B,south B
3bdrm Apartment in Madaraka for rent,madaraka,madaraka
RAYOHPROPERTIES BEDSITTER 6500ksh Mtwapa,No,Furnished
"1bdrm Apartment in Balozi, South B for rent",South b,Balozi
4bdrm Maisonette in Buruburu for Rent,buruburu phase 5,Buruburu
Classic and Newly Built Two Bedroom to Let,mwembeni street,mwembeni
Furnished 3bdrm Apartment in State House Area for rent,Dennis Pritt Road,"130
     
      sqm"
2bdrm Apartment in Mountain View for rent,Mountain view,"75
     
      sqm"
2bdrm Apartment in Nairobi West for Rent,Nairobi West,"5000
     
      sqm"
2bdrm Apartment in Maziwa for Rent,Lavington Green,"12
     
      sqm"
4bdrm Block of Flats in Kitengela for Rent,kitengela,Fairly Used
Servant Quarter on Ngong Road Near Coptic Hosp.,Ngong Road,Unfurnished
3bdrm Maisonette in Kitengela for Rent,Kitengela,Fairly Used
"4bdrm Apartment in Nysli, Nyali for rent",Cement road,Nysli
3bdrm Bungalow in Barnabas for rent,Barnabas,Barnabas
4bdrm Bungalow in Kapseret for rent,Kapseret,Kapseret
"1bdrm Apartment in Gracious Estate, Kwa Kairu for rent",Kwa kairo-matangi road,Gracious estate
4 Bedrooms Plus One Bedroom,Mbagadhi Road,Newly-Built
4bdrm Maisonette in Kilimani for rent,Kilimani,Kilimani
3bdrm Apartment in Kinoo for Rent,kinoo,"148
     
      sqm"
1bdrm Apartment in Bamburi for rent,Bamburi naivas,Bamburi
4bdrm Townhouse / Terrace in Runda for rent,Kiambu Road,Unfurnished
2bdrm Apartment in Kirigiti -Kiambu for rent,Kirigiti off Kiambu Road,Kirigiti -Kiambu
Furnished 4bdrm Mansion in Tigoni for Rent,LIMURU COUNTRY CLUB,"4048
     
      sqm"
"Furnished 3bdrm Apartment in Links, Nyali Mkomani for Rent",links road,links
"1bdrm Apartment in Fishers, Mtambo for Rent",bamburi mtambo,FISHERS
"4bdrm Bungalow in Greenpark, Athi River for rent",Mombasa road,Greenpark
Furnished 1bdrm Apartment in Nyali Mkomani for Rent,2nd Avenue,"200
     
      sqm"
"1bdrm Bungalow in Gwanderu, Turitu for Rent",Gwanderu,Gwanderu
"1bdrm Bedsitter in Next To Ack Church, Ruaka for rent",KIGWARU,NEXT TO ACK CHURCH
"1bdrm Apartment in Riabai, Kiambu / Kiambu  for rent",Kirigiti -Riabai,RIABAI
Three Bedrooms Apartments Master Ensuit,Newly-Built,Standard
3bdrm Apartment in Shanzu for rent,Three bedrooms apartment,Shanzu
2bdrm Apartment in Kileleshwa for rent,"Mandera Road, Kileleshwa","100
     
      sqm"
1bdrm Penthouse in South C for Rent,Fivestar,Renovated
4bdrm Apartment in Mbagathi Way for rent,Mbagathi,"120
     
      sqm"
"Furnished 3bdrm Apartment in Yaya, Kilimani for rent",kilimani,yaya
"2bdrm House in Fedha Estate, Embakasi for rent",Fedha Estate,Fedha Estate
3bdrm Apartment in Riverside Drive for rent,Riverside Drive,"200
     
      sqm"
1bdrm Apartment in Githurai 45 for rent,"Githurai 45, progressive area",Githurai 45
"Furnished 3bdrm Apartment in Jacaranda Gardens, Kahawa West for Rent",Kamiti road,Jacaranda Gardens
"2bdrm House in Otonglo, Korando for rent",Otonglo near Kodiaga prison,Otonglo
2bdrm Bungalow in BuruBuru for Rent,100,Renovated
2bdrm Apartment in Langata for Rent,langata,Renovated
4bdrm Apartment in Kileleshwa for rent,Valley arcade,"257
     
      sqm"
Furnished 2bdrm Apartment in Hurlingham for Rent,Yaya center,"70
     
      sqm"
2bdrm Apartment in Langata for rent,langata,Renovated
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,Fairly Used
"Furnished Studio Apartment in 𝐆𝐚𝐜𝐡𝐞𝐜𝐡𝐞 𝐃𝐫𝐢𝐯𝐞, Kiambu / Kiambu",𝐊𝐢𝐚𝐦𝐛𝐮 𝐑𝐨𝐚𝐝 𝐌𝐮𝐭𝐡𝐢𝐭𝐡𝐢 𝐑𝐨𝐚𝐝,𝐆𝐚𝐜𝐡𝐞𝐜𝐡𝐞 𝐃𝐫𝐢𝐯𝐞
2bdrm Apartment in Kilimani for rent,Argwing kodek,Kilimani
"1bdrm Apartment in Shopping Center, South B for rent",Shopping center,Shopping center
Furnished 1bdrm Bungalow in Runda for rent,Runda,Runda
"4bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
"3bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
"Furnished 2bdrm Apartment in Westlands, Muthaiga North for Rent",Westlands,Westlands
2bdrm Apartment in Langata for Rent,Dam estate,Renovated
3bdrm Maisonette in Runda Estate Kiambuu for rent,Runda Estate,Runda Estate Kiambuu Road
1bdrm Bedsitter in Nairobi West for rent,Nairobi west,"50
     
      sqm"
"2bdrm Apartment in Wanyee Road, Kilimani for rent",Wanyee road,Wanyee road
4bdrm Townhouse / Terrace in Lavington for rent,Jacaranda,"500
     
      sqm"
